"5758,7676,7737,14464,19203,23883,26656,51771"
"16896,26850,28725,28968,53304,53436,55182,56069"
"873,19238,28748,51154,51687,51722,54362,59473"
"17506,24397,26656,27912,28909,40974,51119,51771"
"461,11144,14457,24470,26710,28962,35617,53384"
"1012,3243,7737,22187,23897,44207,53734,55698"
"5100,22415,23874,23883,35828,38862,39140,53514"
"178,254,272,275,3430,4393,24968,29622"
"223,265,1585,2144,3430,4126,11343,29622"
"223,1412,11026,17795,54481,54744,54764,54878"
"4666,11144,14469,17219,22047,24016,29422,35617"
"432,501,26673,28951,53436,55317,56850"
"27938,39200,53499,59668,59723,64686,64742"
"1412,11185,11189,11305,11468,11472,40266"
"130,148,155,163,3430,11343,53734"
"267,5534,5632,24930,26636,28934,54258"
"163,7616,22018,22415,26580,27865,27912"
"119,223,236,252,1627,40118,50681"
"7964,11026,19241,24909,26157,53508,54258"
"2144,5534,5758,38862,50721,54481,55328"
"998,11139,17492,26673,27921,53453,57942"
"155,178,4122,4389,9870,35828,40118"
"7396,11026,24405,24909,28765,53925,54258"
"155,2207,4401,27912,28873,29622,52376"
"452,966,1535,17464,23883,27938,40134"
"35617,40250,53384,57935,59473,59733,60331"
"93,104,105,119,155,163,1585"
"386,22415,23874,24010,24397,40277,53499"
"267,873,1293,19210,27523,37807,50621"
"308,24954,40138,53298,53384,54481,54744"
"27900,27916,28873,44207,44640,51687,51766"
"24,510,926,4666,26673,27938,40118"
"178,455,1012,1670,26630,40118,54754"
"461,492,24010,26828,27928,33819,39186"
"155,178,220,2207,3419,4393,11343"
"163,178,3430,4126,12881,27938,37296"
"8419,27552,27879,40118,53436,53661,55165"
"54362,55182,55328,64650,64651,65023,65456"
"1057,23883,24010,24397,51771,51803,54760"
"27552,51733,51741,53384,56055,57968,59684"
"1241,1587,1646,5758,10602,26673,27921"
"1608,11343,23874,27912,40164,40266,53525"
"3619,5534,11014,11144,53271,53470,54481"
"5100,18746,26656,44207,50721,51733,51803"
"4666,8419,40266,40277,40974,54754,54760"
"159,252,275,278,289,300,10891"
"3243,53271,53294,53402,53607,54258,54369"
"53294,53390,53514,54272,54481,54744,54878"
"155,873,7403,10878,26141,26656,51119"
"1241,1646,11144,11185,24016,27500,40118"
"155,7676,11144,23830,24010,51771,54803"
"17514,19210,24010,28748,28873,40118,51700"
"455,474,480,486,513,51055,59720"
"104,163,278,289,303,1012,55147"
"1423,1587,1646,5758,7900,9979,10867"
"7668,35828,37424,37807,38862,40129,54749"
"7624,23865,24898,27801,28968,53304,55182"
"1587,1731,22346,24954,53026,53723,54258"
"35828,37807,40118,40250,41109,60348,61409"
"163,265,303,7115,7236,9870,10978"
"22346,26799,27552,27871,44207,50721,59668"
"1241,4666,5708,18746,22415,26141,40277"
"10332,11026,17514,18759,19241,19690,24909"
"3,3034,7396,11014,35828,53607,54481"
"468,23883,24010,24916,40118,40974,54760"
"82,172,252,1608,2144,2198,2207"
"24,891,934,1057,17787,54362,56844"
"1448,9979,11144,24010,55147,55165,55182"
"267,1412,1429,17464,27938,51681,53026"
"163,198,3419,4122,4126,4389,9870"
"163,236,275,278,303,334,10978"
"130,461,474,1241,1727,41093,44207"
"1412,9990,23830,27849,40266,44207,54272"
"3852,27879,27900,28748,29606,44227,55291"
"458,873,926,40974,51777,54520,54803"
"236,4666,7654,11144,28951,53436,56844"
"259,468,50621,53436,59466,64702,64727"
"2198,11343,26157,40750,44207,54258,56836"
"10878,24010,37807,40974,44554,50715,51771"
"27552,33801,35828,39140,40118,40138,56493"
"22018,37807,50715,51771,54526,54803,54878"
"873,950,1241,1470,11144,19210,40118"
"7654,7908,51228,51760,51806,56844,60331"
"9990,10610,17464,23874,40266,53026,54258"
"163,178,303,4126,11026,24909,26673"
"35584,54369,55147,55165,55296,55301,56055"
"28924,28934,28962,35828,51228,51760,60331"
"11144,35828,40118,56844,59450,59459,61409"
"52,155,163,289,300,1012,40118"
"35828,37424,37807,38862,39140,40118,40138"
"130,19227,22187,27755,40266,54258,57935"
"26673,27771,35828,40767,51741,53952,55301"
"20,11144,35828,40118,53384,54878,61409"
